h3_index,cluster_id,cluster_meaning
891f53cb6abffff,5,5: shop_greengrocer
891f53cb6afffff,5,5: shop_greengrocer
891f53cb6b3ffff,6,6: building_office
891f53cb6b7ffff,4,4: landuse_cemetery
891f53cb6bbffff,6,6: building_office
891f53cb6c3ffff,3,3: landuse_industrial
891f53cb6c7ffff,6,6: building_office
891f53cc003ffff,11,11: building_house
891f53cc007ffff,2,2: building_house
891f53cc00bffff,2,2: building_house
891f53cc00fffff,2,2: building_house
891f53cc013ffff,2,2: building_house
891f53cc017ffff,2,2: building_house
891f53cc01bffff,2,2: building_house
891f53cc023ffff,4,4: landuse_cemetery
891f53cc02bffff,8,8: landuse_industrial
891f53cc033ffff,2,2: building_house
891f53cc03bffff,2,2: building_house
891f53cc043ffff,0,0: landuse_industrial
891f53cc047ffff,2,2: building_house
891f53cc04bffff,0,0: landuse_industrial
891f53cc04fffff,0,0: landuse_industrial
891f53cc053ffff,2,2: building_house
891f53cc057ffff,2,2: building_house
891f53cc063ffff,11,11: building_house
891f53cc073ffff,2,2: building_house
891f53cc077ffff,2,2: building_house
891f53cc07bffff,2,2: building_house
891f53cc08bffff,2,2: building_house
891f53cc08fffff,2,2: building_house
891f53cc0abffff,2,2: building_house
891f53cc0afffff,2,2: building_house
891f53cc0c7ffff,2,2: building_house
891f53cc0cfffff,2,2: building_house
891f53cc10bffff,11,11: building_house
891f53cc11bffff,8,8: landuse_industrial
891f53cc147ffff,8,8: landuse_industrial
891f53cc16bffff,11,11: building_house
891f53cc173ffff,2,2: building_house
891f53cc17bffff,2,2: building_house
891f53cc1cfffff,8,8: landuse_industrial
891f53cc20bffff,9,9: aeroway_aerodrome
891f53cc223ffff,10,10: building_apartments
891f53cc227ffff,0,0: landuse_industrial
891f53cc22bffff,10,10: building_apartments
891f53cc22fffff,6,6: building_office
891f53cc237ffff,0,0: landuse_industrial
891f53cc23bffff,10,10: building_apartments
891f53cc243ffff,6,6: building_office
891f53cc247ffff,10,10: building_apartments
891f53cc24bffff,9,9: aeroway_aerodrome
891f53cc24fffff,10,10: building_apartments
891f53cc257ffff,9,9: aeroway_aerodrome
891f53cc25bffff,6,6: building_office
891f53cc263ffff,4,4: landuse_cemetery
891f53cc267ffff,9,9: aeroway_aerodrome
891f53cc26bffff,11,11: building_house
891f53cc26fffff,5,5: shop_greengrocer
891f53cc273ffff,3,3: landuse_industrial
891f53cc277ffff,10,10: building_apartments
891f53cc27bffff,2,2: building_house
891f53cc2afffff,0,0: landuse_industrial
891f53cc2b3ffff,2,2: building_house
891f53cc2b7ffff,0,0: landuse_industrial
891f53cc2bbffff,2,2: building_house
891f53cc307ffff,11,11: building_house
891f53cc317ffff,2,2: building_house
891f53cc323ffff,11,11: building_house
891f53cc32bffff,2,2: building_house
891f53cc32fffff,2,2: building_house
891f53cc333ffff,2,2: building_house
891f53cc337ffff,2,2: building_house
891f53cc33bffff,2,2: building_house
891f53cc347ffff,8,8: landuse_industrial
891f53cc34bffff,8,8: landuse_industrial
891f53cc34fffff,3,3: landuse_industrial
891f53cc35bffff,0,0: landuse_industrial
891f53cc367ffff,2,2: building_house
891f53cc36bffff,7,7: highway_bus_stop
891f53cc37bffff,7,7: highway_bus_stop
891f53cc38fffff,2,2: building_house
891f53cc3a3ffff,11,11: building_house
891f53cc3a7ffff,2,2: building_house
891f53cc3abffff,2,2: building_house
891f53cc3afffff,2,2: building_house
891f53cc3b7ffff,2,2: building_house
891f53cc3d7ffff,11,11: building_house
891f53cc3dbffff,8,8: landuse_industrial
891f53cc583ffff,11,11: building_house
891f53cc587ffff,2,2: building_house
891f53cc58fffff,6,6: building_office
891f53cc597ffff,2,2: building_house
891f53cc5b3ffff,2,2: building_house
891f53cc5b7ffff,2,2: building_house
891f53ccedbffff,2,2: building_house
891f53cd02fffff,4,4: landuse_cemetery
891f53cd04fffff,7,7: highway_bus_stop
891f53cd06bffff,6,6: building_office
891f53cd06fffff,0,0: landuse_industrial
891f53cd08bffff,11,11: building_house
891f53cd093ffff,9,9: aeroway_aerodrome
891f53cd097ffff,9,9: aeroway_aerodrome
891f53cd09bffff,10,10: building_apartments
891f53cd0a7ffff,11,11: building_house
891f53cd0afffff,8,8: landuse_industrial
891f53cd0bbffff,8,8: landuse_industrial
891f53cd0c3ffff,6,6: building_office
891f53cd0cfffff,7,7: highway_bus_stop
891f53cd0d3ffff,0,0: landuse_industrial
891f53cd0d7ffff,2,2: building_house
891f53cd0dbffff,7,7: highway_bus_stop
891f53cd103ffff,8,8: landuse_industrial
891f53cd10fffff,0,0: landuse_industrial
891f53cd113ffff,8,8: landuse_industrial
891f53cd117ffff,7,7: highway_bus_stop
891f53cd123ffff,11,11: building_house
891f53cd127ffff,2,2: building_house
891f53cd12bffff,0,0: landuse_industrial
891f53cd12fffff,0,0: landuse_industrial
891f53cd133ffff,2,2: building_house
891f53cd137ffff,2,2: building_house
891f53cd147ffff,11,11: building_house
891f53cd14bffff,0,0: landuse_industrial
891f53cd14fffff,8,8: landuse_industrial
891f53cd153ffff,8,8: landuse_industrial
891f53cd157ffff,7,7: highway_bus_stop
891f53cd15bffff,8,8: landuse_industrial
891f53cd163ffff,11,11: building_house
891f53cd16bffff,8,8: landuse_industrial
891f53cd173ffff,8,8: landuse_industrial
891f53cd177ffff,2,2: building_house
891f53cd183ffff,1,1: amenity_nightclub
891f53cd187ffff,10,10: building_apartments
891f53cd18bffff,9,9: aeroway_aerodrome
891f53cd18fffff,7,7: highway_bus_stop
891f53cd193ffff,1,1: amenity_nightclub
891f53cd197ffff,10,10: building_apartments
891f53cd1a3ffff,11,11: building_house
891f53cd1a7ffff,2,2: building_house
891f53cd1abffff,2,2: building_house
891f53cd1afffff,2,2: building_house
891f53cd1b3ffff,1,1: amenity_nightclub
891f53cd1b7ffff,6,6: building_office
891f53cd1bbffff,7,7: highway_bus_stop
891f53cd1c7ffff,9,9: aeroway_aerodrome
891f53cd1cbffff,9,9: aeroway_aerodrome
891f53cd1cfffff,9,9: aeroway_aerodrome
891f53cd1d7ffff,9,9: aeroway_aerodrome
891f53cd1dbffff,3,3: landuse_industrial
891f53cd203ffff,4,4: landuse_cemetery
891f53cd207ffff,10,10: building_apartments
891f53cd20fffff,9,9: aeroway_aerodrome
891f53cd213ffff,7,7: highway_bus_stop
891f53cd217ffff,6,6: building_office
891f53cd223ffff,10,10: building_apartments
891f53cd227ffff,0,0: landuse_industrial
891f53cd22bffff,2,2: building_house
891f53cd22fffff,10,10: building_apartments
891f53cd233ffff,2,2: building_house
891f53cd237ffff,10,10: building_apartments
891f53cd23bffff,2,2: building_house
891f53cd253ffff,11,11: building_house
891f53cd257ffff,2,2: building_house
891f53cd263ffff,7,7: highway_bus_stop
891f53cd26bffff,7,7: highway_bus_stop
891f53cd26fffff,2,2: building_house
891f53cd273ffff,4,4: landuse_cemetery
891f53cd277ffff,2,2: building_house
891f53cd2a3ffff,8,8: landuse_industrial
891f53cd2a7ffff,9,9: aeroway_aerodrome
891f53cd2abffff,8,8: landuse_industrial
891f53cd2afffff,5,5: shop_greengrocer
891f53cd2c7ffff,7,7: highway_bus_stop
891f53cd2dbffff,7,7: highway_bus_stop
891f53cd303ffff,11,11: building_house
891f53cd307ffff,8,8: landuse_industrial
891f53cd30bffff,10,10: building_apartments
891f53cd30fffff,0,0: landuse_industrial
891f53cd313ffff,0,0: landuse_industrial
891f53cd317ffff,3,3: landuse_industrial
891f53cd31bffff,10,10: building_apartments
891f53cd323ffff,8,8: landuse_industrial
891f53cd327ffff,8,8: landuse_industrial
891f53cd333ffff,8,8: landuse_industrial
891f53cd337ffff,8,8: landuse_industrial
891f53cd33bffff,8,8: landuse_industrial
891f53cd343ffff,10,10: building_apartments
891f53cd347ffff,10,10: building_apartments
891f53cd34bffff,10,10: building_apartments
891f53cd34fffff,2,2: building_house
891f53cd353ffff,10,10: building_apartments
891f53cd357ffff,10,10: building_apartments
891f53cd35bffff,10,10: building_apartments
891f53cd363ffff,4,4: landuse_cemetery
891f53cd367ffff,8,8: landuse_industrial
891f53cd36bffff,4,4: landuse_cemetery
891f53cd373ffff,0,0: landuse_industrial
891f53cd377ffff,3,3: landuse_industrial
891f53cd37bffff,2,2: building_house
891f53cd383ffff,0,0: landuse_industrial
891f53cd387ffff,0,0: landuse_industrial
891f53cd38fffff,0,0: landuse_industrial
891f53cd397ffff,0,0: landuse_industrial
891f53cd39bffff,0,0: landuse_industrial
891f53cd3a3ffff,3,3: landuse_industrial
891f53cd3a7ffff,8,8: landuse_industrial
891f53cd3abffff,3,3: landuse_industrial
891f53cd3afffff,3,3: landuse_industrial
891f53cd3b3ffff,3,3: landuse_industrial
891f53cd3bbffff,8,8: landuse_industrial
891f53cd3c3ffff,8,8: landuse_industrial
891f53cd3c7ffff,3,3: landuse_industrial
891f53cd3cbffff,10,10: building_apartments
891f53cd3cfffff,3,3: landuse_industrial
891f53cd3d3ffff,6,6: building_office
891f53cd3d7ffff,0,0: landuse_industrial
891f53cd3dbffff,0,0: landuse_industrial
891f53cd40bffff,4,4: landuse_cemetery
891f53cd40fffff,6,6: building_office
891f53cd423ffff,4,4: landuse_cemetery
891f53cd427ffff,0,0: landuse_industrial
891f53cd42bffff,1,1: amenity_nightclub
891f53cd42fffff,6,6: building_office
891f53cd433ffff,9,9: aeroway_aerodrome
891f53cd437ffff,9,9: aeroway_aerodrome
891f53cd43bffff,1,1: amenity_nightclub
891f53cd443ffff,11,11: building_house
891f53cd447ffff,4,4: landuse_cemetery
891f53cd453ffff,8,8: landuse_industrial
891f53cd45bffff,0,0: landuse_industrial
891f53cd463ffff,9,9: aeroway_aerodrome
891f53cd467ffff,6,6: building_office
891f53cd46bffff,7,7: highway_bus_stop
891f53cd46fffff,7,7: highway_bus_stop
891f53cd473ffff,9,9: aeroway_aerodrome
891f53cd477ffff,1,1: amenity_nightclub
891f53cd49bffff,8,8: landuse_industrial
891f53cd4a3ffff,8,8: landuse_industrial
891f53cd4afffff,9,9: aeroway_aerodrome
891f53cd52bffff,3,3: landuse_industrial
891f53cd52fffff,3,3: landuse_industrial
891f53cd53bffff,8,8: landuse_industrial
891f53cd543ffff,11,11: building_house
891f53cd547ffff,2,2: building_house
891f53cd54bffff,9,9: aeroway_aerodrome
891f53cd54fffff,10,10: building_apartments
891f53cd553ffff,2,2: building_house
891f53cd55bffff,10,10: building_apartments
891f53cd563ffff,7,7: highway_bus_stop
891f53cd567ffff,7,7: highway_bus_stop
891f53cd573ffff,2,2: building_house
891f53cd577ffff,2,2: building_house
891f53cd57bffff,10,10: building_apartments
891f53cd5cbffff,9,9: aeroway_aerodrome
891f53cd5dbffff,9,9: aeroway_aerodrome
891f53cd603ffff,11,11: building_house
891f53cd607ffff,2,2: building_house
891f53cd613ffff,10,10: building_apartments
891f53cd617ffff,2,2: building_house
891f53cd61bffff,10,10: building_apartments
891f53cd683ffff,8,8: landuse_industrial
891f53cd687ffff,3,3: landuse_industrial
891f53cd68bffff,0,0: landuse_industrial
891f53cd68fffff,10,10: building_apartments
891f53cd693ffff,4,4: landuse_cemetery
891f53cd697ffff,3,3: landuse_industrial
